tweet_id,text,gold_intent,gold_action,annotation_notes
2009134,"@AppleSupport Thanks, I've DMd",other,auto_handle,Customer acknowledges that they sent a DM; no new request
2136609,"@AppleSupport No DM is required , the problem has simply been mentioned , what do u want in DM , ,",complaint,escalate,Customer is dissatisfied with the request to move the issue to DM
2863525,@AppleSupport hello! Where do I go to remove a device from my account so I don’t get recommmebdations for it?! https://t.co/0gFvWCzW1U,account_access,auto_handle,Asking how to remove a device associated with their account
2774454,@AppleSupport why does my iPhone keep asking me to sign into an iTunes account that’s not mine?,account_access,auto_handle,Unknown iTunes account is repeatedly requesting sign-in
159587,@AppleSupport another question if i️ have t-mobile can i️ use the iphone 8 ?,information_request,auto_handle,Asking whether iPhone 8 works with T-Mobile
2915961,@119459 @AppleSupport #apple #iphone8 Hii in the iphone 8whether Portrait Mode is available on iPhone 8,information_request,auto_handle,Asking whether Portrait Mode is available on iPhone 8
1342967,@AppleSupport aidez moi :),other,auto_handle,"""Help me"" is too vague to determine the actual issue"
121524,@AppleSupport Yup!,other,auto_handle,Simple acknowledgement with no support request
1450150,@AppleSupport iOS 11.1 drains my ipad battery.  I went from 100% to 7% in 2 hours while streaming radio.  Has never happened before. FIX!,technical_issue,auto_handle,Severe battery drain occurring after iOS update
1929203,@AppleSupport battery is awful since updating to ios11 on my 7. General performance is poor also. How long until the new update?,technical_issue,auto_handle,Battery drain and poor performance after iOS update
1821471,"@AppleSupport My MacBook Pro w/TB is a month old. Sticky key today. I'm aware of the compressed air thing, but it is *a month old*! Come on!",product_issue,auto_handle,Sticky key on a recently purchased MacBook Pro
2212981,@AppleSupport my macbook pro needs a new hard drive but staff say you don't make them anymore😒,product_issue,escalate,MacBook Pro needs a hard drive replacement and support says it is no longer made
332829,@AppleSupport Step 4 helped. Thanks a lot. https://t.co/gDjcrdKAtb,other,auto_handle,Confirms that a troubleshooting step solved the issue and thanks support
1332257,"@AppleSupport I thought you might say that.  Lets, but we’re two updates in on your latest offering. Caused more problems than it fixed.",technical_issue,escalate,Reports that recent updates caused more problems than they fixed
876338,@AppleSupport iPhone 7 and iOS 11.0.3. Please give me a way to downgrade my shit back to iOS 10.,technical_issue,auto_handle,Requests ability to downgrade from iOS 11 to iOS 10
922112,@AppleSupport iPhone 6S just sign 10.3.3 again so I can downgrade :-),technical_issue,auto_handle,Requests ability to downgrade iPhone software
739142,@AppleSupport no actually I'm looking for change my ringtone on my apple watch,information_request,auto_handle,Asks how to change the ringtone on Apple Watch
